"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"I wasted a good 10 min today trying to run a function in package #phytools before realizing  it was really in package phyLoTools #rstats",FALSE,0,NA,2016-02-23 00:51:44,FALSE,NA,"701932417943101440",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rafmarcondes",0,FALSE,FALSE,NA,NA
"RT @drob: When you start writing a loop then turn it into dplyr

#rstats https://t.co/M0gXUXuYCP",FALSE,0,NA,2016-02-23 00:37:19,FALSE,NA,"701928790562222080",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bluelight_mike",41,TRUE,FALSE,NA,NA
"RT @hadleywickham: babynames package now includes 2014 data: https://t.co/TcaJxiEjZl #rstats",FALSE,0,NA,2016-02-23 00:35:28,FALSE,NA,"701928323442585600",NA,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","aindap",19,TRUE,FALSE,NA,NA
"RT @NumFOCUS: Join NumFOCUS and show your support for #opensource #datascience! https://t.co/y8ZQiOSaTp #julialang #rstats #matlab #python …",FALSE,0,NA,2016-02-23 00:34:53,FALSE,NA,"701928176625123329",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ucfagls",8,TRUE,FALSE,NA,NA
"RT @NumFOCUS: Join NumFOCUS and show your support for #opensource #datascience! https://t.co/y8ZQiOSaTp #julialang #rstats #matlab #python …",FALSE,0,NA,2016-02-23 00:32:01,FALSE,NA,"701927456119238656",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","sckottie",8,TRUE,FALSE,NA,NA
"RT @RLangTip: sessionInfo()$otherPkgs will print the details of non base R packages attached to your session. https://t.co/0cJy25Sgtt #rsta…",FALSE,0,NA,2016-02-23 00:30:32,FALSE,NA,"701927083216343040",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mhiggins2000",6,TRUE,FALSE,NA,NA
"Join NumFOCUS and show your support for #opensource #datascience! https://t.co/y8ZQiOSaTp #julialang #rstats #matlab #python #cplusplus",FALSE,13,NA,2016-02-23 00:30:23,FALSE,NA,"701927045769650178",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","NumFOCUS",8,FALSE,FALSE,NA,NA
"I *may* have broken ggplot2... #chernobyl #rstats https://t.co/IPRBfKLPya",FALSE,3,NA,2016-02-23 00:30:02,FALSE,NA,"701926955810054144",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","robbibt",1,FALSE,FALSE,NA,NA
"RT @Rbloggers: Advanced Analytics Software’s Most Important Feature? Gartner Says it’s VCF https://t.co/Dt7aV6BxDt #rstats #DataScience",FALSE,0,NA,2016-02-23 00:29:11,FALSE,NA,"701926741728690176",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","homeAIinfo",3,TRUE,FALSE,NA,NA
"RT @KirkDBorne: Useful packages (libraries) for Data Analysis in R: https://t.co/haRKopFyly #DataScience #Rstats by @analyticsvidhya https:…",FALSE,0,NA,2016-02-23 00:26:56,FALSE,NA,"701926179243167748",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DDEdwards_",97,TRUE,FALSE,NA,NA
